Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
COLLEGES (année scolaire 2017/2018 - 2018/2019);HONORE DE BALZAC;118 boulevard BESSIERES;17ème Ardt;75117;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.315476824340967, 48.895530729202925]}";48.8955307292,2.31547682434
COLLEGES (année scolaire 2017/2018 - 2018/2019);MOULIN DES PRES;18 RUE DU MOULIN DES PRES;13ème Ardt;75113;2017/2018 - 2018/2019;;"{""type"": ""Point"", ""coordinates"": [2.352713359359341, 48.82878642410554]}";48.8287864241,2.35271335936
COLLEGES (année scolaire 2021/2022);CAMILLE SEE;11 RUE LEON LHERMITTE;15ème Ardt;75115;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.296984032128427, 48.842990796819656]}";48.8429907968,2.29698403213
COLLEGES (année scolaire 2021/2022);LAVOISIER;17 RUE HENRI BARBUSSE;5ème Ardt;75105;2021-2022;Collège;"{""type"": ""Point"", ""coordinates"": [2.339294801449021, 48.84235456085726]}";48.8423545609,2.33929480145
COLLEGES (année scolaire 2019/2020);MARX DORMOY;55 rue MARX DORMOY;18ème Ardt;75118;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.359697412091033, 48.88849687599041]}";48.888496876,2.35969741209
COLLEGES (année scolaire 2020/2021);HELENE BOUCHER;75 COURS DE VINCENNES;20ème Ardt;75120;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.406967533044743, 48.84781843548246]}";48.8478184355,2.40696753304
COLLEGES (année scolaire 2020/2021);GUSTAVE FLAUBERT;82 AVENUE D' IVRY;13ème Ardt;75113;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.362659762060225, 48.82496991497495]}";48.824969915,2.36265976206
COLLEGES (année scolaire 2020/2021);ALPHONSE DAUDET;93 RUE D' ALESIA;14ème Ardt;75114;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.325909407585153, 48.82801240851197]}";48.8280124085,2.32590940759
COLLEGES (année scolaire 2020/2021);MOULIN DES PRES;18 RUE DU MOULIN DES PRES;13ème Ardt;75113;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.352713360766141, 48.828786420515655]}";48.8287864205,2.35271336077
COLLEGES (année scolaire 2020/2021);LUCIE FAURE;40 RUE DES PYRENEES;20ème Ardt;75120;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.406501323731271, 48.850908971483676]}";48.8509089715,2.40650132373
COLLEGES (année scolaire 2020/2021);ANDRE MALRAUX;5 bis RUE SAINT-FERDINAND;17ème Ardt;75117;2020-2021;Collège;"{""type"": ""Point"", ""coordinates"": [2.290514944291561, 48.878810438890326]}";48.8788104389,2.29051494429
