Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
ELEMENTAIRES (année scolaire 2017/2018);ALAIN-FOURNIER ( 5) ELEM;1 square ALAIN FOURNIER;14ème Ardt;75114;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.307674933366916, 48.82832430297692]}";48.828324303,2.30767493337
ELEMENTAIRES (année scolaire 2017/2018);PIAT (36) MAT;36 rue PIAT;20ème Ardt;75120;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.384822377554956, 48.87222675531182]}";48.8722267553,2.38482237755
ELEMENTAIRES (année scolaire 2017/2018);GUADELOUPE (2) ELEM;2 RUE DE LA GUADELOUPE;18ème Ardt;75118;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.362632089285299, 48.890753009234786]}";48.8907530092,2.36263208929
ELEMENTAIRES (année scolaire 2017/2018);FERNAND LABORI (19) ELEM;19 rue FERNAND LABORI;18ème Ardt;75118;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.342251148831807, 48.899127619182785]}";48.8991276192,2.34225114883
ELEMENTAIRES (année scolaire 2017/2018);BERANGER (3) ELEM;3 rue BERANGER;3ème Ardt;75103;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.364382987651625, 48.86481590356347]}";48.8648159036,2.36438298765
ELEMENTAIRES (année scolaire 2017/2018);FOREST (14) POLY;14 rue FOREST;18ème Ardt;75118;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.329087390197587, 48.885733365640526]}";48.8857333656,2.3290873902
ELEMENTAIRES (année scolaire 2017/2018);CHAPTAL (12) ELEM;12 rue CHAPTAL;9ème Ardt;75109;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.3336321508493523, 48.880824650554096]}";48.8808246506,2.33363215085
ELEMENTAIRES (année scolaire 2017/2018);OLIVIER METRA (24) ELEM A;24 rue OLIVIER METRA;20ème Ardt;75120;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.394262605088934, 48.87300073523785]}";48.8730007352,2.39426260509
ELEMENTAIRES (année scolaire 2017/2018);BELLEVILLE (236) ELEM;236 RUE DE BELLEVILLE;20ème Ardt;75120;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.398182988876854, 48.875358795511936]}";48.8753587955,2.39818298888
ELEMENTAIRES (année scolaire 2017/2018);ALESIA (188) ELEM;188 RUE D' ALESIA;14ème Ardt;75114;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.312809893313449, 48.83250683015039]}";48.8325068302,2.31280989331
ELEMENTAIRES (année scolaire 2017/2018);POMMARD (4) ELEM;4 RUE DE POMMARD;12ème Ardt;75112;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.385128851587216, 48.83564931755957]}";48.8356493176,2.38512885159
ELEMENTAIRES (année scolaire 2017/2018);MARTEL (9) ELEM;9 rue MARTEL;10ème Ardt;75110;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.352914623438497, 48.87397516967916]}";48.8739751697,2.35291462344
ELEMENTAIRES (année scolaire 2017/2018);TORCY (5) ELEM;5 RUE DE TORCY;18ème Ardt;75118;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.364816077415783, 48.8910904717849]}";48.8910904718,2.36481607742
ELEMENTAIRES (année scolaire 2017/2018);DAMESME (5) ELEM;5 rue DAMESME;13ème Ardt;75113;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.355436264971736, 48.825097702965074]}";48.825097703,2.35543626497
ELEMENTAIRES (année scolaire 2017/2018);BLOMET (19) ELEM;19 rue BLOMET;15ème Ardt;75115;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.307175521895933, 48.84315495692993]}";48.8431549569,2.3071755219
ELEMENTAIRES (année scolaire 2017/2018);GUSTAVE ROUANET (7) ELEM;7 rue GUSTAVE ROUANET;18ème Ardt;75118;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.340316321975378, 48.89631475865579]}";48.8963147587,2.34031632198
ELEMENTAIRES (année scolaire 2017/2018);FERDINAND FLOCON (5) ELEM;5 rue FERDINAND FLOCON;18ème Ardt;75118;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.345879669934115, 48.89164799782914]}";48.8916479978,2.34587966993
ELEMENTAIRES (année scolaire 2017/2018);EBLE (14) ELEM;14 rue EBLE;7ème Ardt;75107;2017-2018;;"{""type"": ""Point"", ""coordinates"": [2.312922306404157, 48.848995349233284]}";48.8489953492,2.3129223064
