Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
MATERNELLES (année scolaire 2019/2020);BERCY (167) MAT;167 RUE DE BERCY;12ème Ardt;75112;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.375238550395827, 48.84260745445273]}";48.8426074545,2.3752385504
MATERNELLES (année scolaire 2019/2020);ECLUSES ST MARTIN (28) MAT;28 RUE DES ECLUSES SAINT-MARTIN;10ème Ardt;75110;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.366224199974733, 48.87726879435483]}";48.8772687944,2.36622419997
MATERNELLES (année scolaire 2019/2020);BLANCHE (9 B) MAT;9 bis RUE BLANCHE;9ème Ardt;75109;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.331747545594933, 48.878069209627625]}";48.8780692096,2.33174754559
MATERNELLES (année scolaire 2019/2020);POULLETIER (18) MAT;18 RUE POULLETIER;4ème Ardt;75104;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.358314138154766, 48.85147073876572]}";48.8514707388,2.35831413815
MATERNELLES (année scolaire 2019/2020);GENERAL LASALLE (5) MAT;5 RUE DU GENERAL LASALLE;19ème Ardt;75119;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.380305281861583, 48.874019879318176]}";48.8740198793,2.38030528186
MATERNELLES (année scolaire 2019/2020);BELLIARD (131) MAT;131 RUE BELLIARD;18ème Ardt;75118;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.3354071446981, 48.89632116764373]}";48.8963211676,2.3354071447
MATERNELLES (année scolaire 2019/2020);TOURNELLES (21) POLY;12 RUE DES TOURNELLES;4ème Ardt;75104;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.367390361552472, 48.85432880152485]}";48.8543288015,2.36739036155
MATERNELLES (année scolaire 2019/2020);JOSEPH DE MAISTRE (94) MAT;94 RUE JOSEPH DE MAISTRE;18ème Ardt;75118;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.330324707542936, 48.89328502885044]}";48.8932850289,2.33032470754
MATERNELLES (année scolaire 2019/2020);SERVAN (54) MAT;54 RUE SERVAN;11ème Ardt;75111;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.381813812498377, 48.86303125720682]}";48.8630312572,2.3818138125
MATERNELLES (année scolaire 2019/2020);COLONEL MOLL (16) MAT;16 RUE DU COLONEL MOLL;17ème Ardt;75117;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.290101061345522, 48.878012858561775]}";48.8780128586,2.29010106135
MATERNELLES (année scolaire 2019/2020);BRECHE AUX LOUPS (28) MAT;28 RUE DE LA BRECHE AUX LOUPS;12ème Ardt;75112;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.394535771071332, 48.83778785479722]}";48.8377878548,2.39453577107
MATERNELLES (année scolaire 2019/2020);REUILLY (59) MAT;59 RUE DE REUILLY;12ème Ardt;75112;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.388686477222781, 48.84567811752369]}";48.8456781175,2.38868647722
MATERNELLES (année scolaire 2019/2020);JENNER (46) MAT;46 RUE JENNER;13ème Ardt;75113;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.360875744155196, 48.83603938840629]}";48.8360393884,2.36087574416
MATERNELLES (année scolaire 2019/2020);EUPATORIA (15) MAT;15 RUE D' EUPATORIA;20ème Ardt;75120;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.38733586767888, 48.86889592649669]}";48.8688959265,2.38733586768
