"","feed_title","feed_link","feed_description","feed_language","feed_pub_date","feed_last_build_date","feed_category","feed_generator","item_title","item_link","item_description","item_pub_date","item_guid","item_category"
"1","R-bloggers","https://www.r-bloggers.com","R news and tutorials contributed by hundreds of R bloggers","en-US",2021-11-23 10:59:45,2021-11-23 10:59:45,"R bloggers","https://wordpress.org/?v=5.5.7","Backstage: The Hitchhiker’s Guide to Responsible Machine Learning","https://www.r-bloggers.com/2021/11/backstage-the-hitchhikers-guide-to-responsible-machine-learning/","A month ago we released an educational comic in the area of Responsible Machine Learning/Explanatory Model Analysis titled ,,The Hitchhiker’s Guide to Responsible Machine Learning’’. In 52 pages we present methods, tools and good practices for building...Continue reading: Backstage: The Hitchhiker’s Guide to Responsible Machine Learning",2021-11-23 10:59:45,"https://medium.com/p/3a8735a0f8bb","R bloggers"
"2","R-bloggers","https://www.r-bloggers.com","R news and tutorials contributed by hundreds of R bloggers","en-US",2021-11-23 10:59:45,2021-11-23 10:59:45,"R bloggers","https://wordpress.org/?v=5.5.7","parallelly 1.29.0: New Skills and Less Communication Latency on Linux","https://www.r-bloggers.com/2021/11/parallelly-1-29-0-new-skills-and-less-communication-latency-on-linux/","Continue reading: parallelly 1.29.0: New Skills and Less Communication Latency on Linux",2021-11-23 05:00:00,"https://www.jottr.org/2021/11/22/parallelly-1.29.0/","R bloggers"
"3","R-bloggers","https://www.r-bloggers.com","R news and tutorials contributed by hundreds of R bloggers","en-US",2021-11-23 05:00:00,2021-11-23 05:00:00,"R bloggers","https://wordpress.org/?v=5.5.7","Why R? Webinars are back","https://www.r-bloggers.com/2021/11/why-r-webinars-are-back/","Before we run the fifth edition of Why R? 2021 conference we would like to invite you to a new series of Why R? webinars (https://whyr.pl/webinars/). As the meetings are held in English we invite R users from all over the globe!We will stream webina...Continue reading: Why R? Webinars are back",2021-11-23 05:00:00,"http://whyr.pl//foundation/2021/webinars-are-back/","R bloggers"
"4","R-bloggers","https://www.r-bloggers.com","R news and tutorials contributed by hundreds of R bloggers","en-US",2021-11-23 05:00:00,2021-11-23 05:00:00,"R bloggers","https://wordpress.org/?v=5.5.7","MANOVA(Multivariate Analysis of Variance) using R","https://www.r-bloggers.com/2021/11/manovamultivariate-analysis-of-variance-using-r/","What is MANOVA (Multivariate Analysis of Variance)? MANOVA is an extension to univariate ANOVA that includes at least two dependent variables to analyze differences between multiple groups in the independent variable. In contrast to ANOVA, where we compare individual group means, MANOVA compares the vectors…The post MANOVA(Multivariate Analysis ...Continue reading: MANOVA(Multivariate Analysis of Variance) using R",2021-11-23 03:49:46,"https://www.statisticalaid.com/?p=778","R bloggers"
"5","R-bloggers","https://www.r-bloggers.com","R news and tutorials contributed by hundreds of R bloggers","en-US",2021-11-23 05:00:00,2021-11-23 05:00:00,"R bloggers","https://wordpress.org/?v=5.5.7","The design effect of a cluster randomized trial with baseline measurements","https://www.r-bloggers.com/2021/11/the-design-effect-of-a-cluster-randomized-trial-with-baseline-measurements/","Is it possible to reduce the sample size requirements of a stepped wedge cluster randomized trial simply by collecting baseline information? In a trial with randomization at the individual level, it is generally the case that if we are able to measure an outcome for subjects at two time periods, ...Continue reading: The design effect of a cluster randomized trial with baseline measurements",2021-11-23 00:00:00,"https://www.rdatagen.net/post/2021-11-23-design-effects-with-baseline-measurements/","R bloggers"
"6","R-bloggers","https://www.r-bloggers.com","R news and tutorials contributed by hundreds of R bloggers","en-US",2021-11-23 05:00:00,2021-11-23 05:00:00,"R bloggers","https://wordpress.org/?v=5.5.7","How to calculate Whites Test in R","https://www.r-bloggers.com/2021/11/how-to-calculate-whites-test-in-r/","For the latest Data Science, jobs and UpToDate tutorials visit finnstatsThe White test is a statistical test that determines whether the variance of errors in a regression model is constant, indicating homoscedasticity.Halbert White proposed this tes...Continue reading: How to calculate Whites Test in R",2021-11-22 14:40:55,"https://finnstats.com/?p=14057","R bloggers"
"7","R-bloggers","https://www.r-bloggers.com","R news and tutorials contributed by hundreds of R bloggers","en-US",2021-11-23 05:00:00,2021-11-23 05:00:00,"R bloggers","https://wordpress.org/?v=5.5.7","Shooting Stars","https://www.r-bloggers.com/2021/11/shooting-stars-2/","This question popped up in my Twitter feed earlier, courtesy of @PipingHotDataI did answer in a tweet, but I want to expand on that, so here goes..Why would you follow someone on GitHub?I suppose the obvious one, at least for me, is t...Continue reading: Shooting Stars",2021-11-22 00:00:00,"https://johnmackintosh.net/blog/2021-11-22-shooting-stars/","R bloggers"
"8","R-bloggers","https://www.r-bloggers.com","R news and tutorials contributed by hundreds of R bloggers","en-US",2021-11-23 05:00:00,2021-11-23 05:00:00,"R bloggers","https://wordpress.org/?v=5.5.7","Shooting Stars","https://www.r-bloggers.com/2021/11/shooting-stars/","This question popped up in my Twitter feed earlier, courtesy of @PipingHotDataContinue reading: Shooting Stars",2021-11-22 00:00:00,"https://johnmackintosh.net/blog/shooting-stars","R bloggers"
"9","R-bloggers","https://www.r-bloggers.com","R news and tutorials contributed by hundreds of R bloggers","en-US",2021-11-22 00:00:00,2021-11-22 00:00:00,"R bloggers","https://wordpress.org/?v=5.5.7","How to Scrape and Store Strava Data Using R","https://www.r-bloggers.com/2021/11/how-to-scrape-and-store-strava-data-using-r/","This post by Julian During is the third place winner in the Call for Documentation contest. Julian is a data scientist from Germany working in the manufacturing industry. Julian loves working with R (especially the tidyverse ecosystem), sp...Continue reading: How to Scrape and Store Strava Data Using R",2021-11-22 00:00:00,"https://rviews.rstudio.com/2021/11/22/strava-data/","R bloggers"
"10","R-bloggers","https://www.r-bloggers.com","R news and tutorials contributed by hundreds of R bloggers","en-US",2021-11-21 10:47:35,2021-11-21 10:47:35,"R bloggers","https://wordpress.org/?v=5.5.7","Application of Bayes Theorem in R","https://www.r-bloggers.com/2021/11/application-of-bayes-theorem-in-r/","Recommended to read most recent job openings and UpToDate tutorials from finnstatsApplication of Bayes Theorem, Bayes’ theorem describes the likelihood of an event occurring in relation to any condition. It is also considered in the case of cond...Continue reading: Application of Bayes Theorem in R",2021-11-21 10:47:35,"https://finnstats.com/?p=14049","R bloggers"
"11","R-bloggers","https://www.r-bloggers.com","R news and tutorials contributed by hundreds of R bloggers","en-US",2021-11-21 10:47:35,2021-11-21 10:47:35,"R bloggers","https://wordpress.org/?v=5.5.7","How to Perform Univariate Analysis in R","https://www.r-bloggers.com/2021/11/how-to-perform-univariate-analysis-in-r/","Recommended to read most recent job openings and UpToDate tutorials from finnstatsPerform Univariate Analysis in R, In statistics, there are three different types of strategies for univariate data analysis. There are three types of analysis: univariate, bivariate, and multivariate. Subscribe The term “univariate analysis” refers...The post How to ...Continue reading: How to Perform Univariate Analysis in R",2021-11-20 09:54:47,"https://finnstats.com/?p=14006","R bloggers"
"12","R-bloggers","https://www.r-bloggers.com","R news and tutorials contributed by hundreds of R bloggers","en-US",2021-11-21 10:47:35,2021-11-21 10:47:35,"R bloggers","https://wordpress.org/?v=5.5.7","cusumcharter available on CRAN","https://www.r-bloggers.com/2021/11/cusumcharter-available-on-cran-2/","I submitted my cusumcharter package to CRAN late last Friday evening and was pleasantly surprised to receive an email early on Monday advising me it was on its way to CRAN.Big thanks to the CRAN maintainers who manage to work through the qu...Continue reading: cusumcharter available on CRAN",2021-11-20 00:00:00,"https://johnmackintosh.net/blog/2021-11-20-cusumcharter/","R bloggers"
"13","R-bloggers","https://www.r-bloggers.com","R news and tutorials contributed by hundreds of R bloggers","en-US",2021-11-21 10:47:35,2021-11-21 10:47:35,"R bloggers","https://wordpress.org/?v=5.5.7","cusumcharter available on CRAN","https://www.r-bloggers.com/2021/11/cusumcharter-available-on-cran/","I submitted my cusumcharter package to CRAN late last Friday evening and was pleasantly surprised to receive an email early on Monday advising me it was on its way to CRAN.Continue reading: cusumcharter available on CRAN",2021-11-20 00:00:00,"https://johnmackintosh.net/blog/cusumcharter","R bloggers"
"14","R-bloggers","https://www.r-bloggers.com","R news and tutorials contributed by hundreds of R bloggers","en-US",2021-11-21 10:47:35,2021-11-21 10:47:35,"R bloggers","https://wordpress.org/?v=5.5.7","Calculate Polychoric Correlation in R","https://www.r-bloggers.com/2021/11/calculate-polychoric-correlation-in-r/","Recommended to read most recent job openings and UpToDate tutorials from finnstatsCalculate Polychoric Correlation in R, The correlation between ordinal variables is calculated using polychoric correlation. Remember that ordinal variables are categorical possible values and natural order. Some of the common scales measured on an...The post Calculate Polychoric ...Continue reading: Calculate Polychoric Correlation in R",2021-11-19 15:07:40,"https://finnstats.com/?p=13987","R bloggers"
